id;time
0;89672951
1;94912389
2;84885497
3;70577604
4;91550189
5;92595267
6;76378175
7;87562393
8;78373403
9;68655860
10;77609482
11;92453219
12;75098063
13;69133777
14;79505552
15;70153312
16;75013429
17;93870578
18;84526877
19;154446130
20;78123928
21;256362588
22;90752098
23;84071106
24;72620224
25;80491287
26;109890634
27;72499049
28;74552250
29;70372631
30;59378881
31;69627753
32;61296117
33;56418510
34;53173988
35;51566206
36;84895512
37;69260105
38;67775081
39;64681024
40;62092627
41;56578745
42;52661854
43;66627356
44;70368285
45;63607017
46;75089449
47;66454413
48;55474080
49;53584020
50;55515391
51;57545550
52;53962826
53;53497442
54;64184835
55;66712641
56;52034047
57;51836687
58;75383847
59;74090476
60;54983107
61;56762722
62;55185577
63;63726008
64;51984201
65;52539121
66;56766586
67;55110051
68;51893176
69;53561181
70;54518248
71;72011867
72;58352889
73;54399315
74;61544341
75;57472145
76;53150544
77;53145095
78;53570566
79;64536460
80;60452189
81;59668774
82;63973923
83;55459935
84;49713503
85;54068949
86;54608795
87;55170466
88;51141431
89;63548037
90;111022687
91;71664042
92;54307364
93;65730042
94;56720968
95;62694956
96;50129652
97;55588635
98;58818004
99;52758385
100;51127708
101;56083105
102;60802156
103;58238942
104;59421017
105;52411760
106;59348207
107;51920027
108;49720170
109;63549065
110;55889096
111;52273690
112;49891159
113;50076623
114;54700528
115;58430365
116;51639117
117;58573925
118;54213953
119;53452700
120;50434294
121;56543856
122;59809477
123;69089459
124;54934102
125;53036104
126;66967831
127;54741218
128;52751830
129;56088536
130;63224059
131;55418880
132;49520174
133;53265038
134;55870750
135;51981091
136;51311068
137;52294761
138;53919383
139;55520113
140;56946306
141;53312860
142;53394107
143;54592050
144;49603851
145;51393065
146;52280328
147;51749991
148;48097323
149;55052885
150;54490360
151;54887637
152;51775901
153;64760163
154;54616527
155;58054519
156;52480755
157;50441675
158;54939641
159;56164668
160;52966037
161;50254283
162;52645514
163;53455602
164;51787022
165;53284574
166;63463131
167;64542346
168;53377787
169;49756126
170;51454410
171;52455831
