time,value
0.0001983642578125,18.1
0.5022075176239014,7.7
1.004415512084961,6.6
1.506737232208252,6.6
2.0090219974517822,10.5
2.511125087738037,7.6
3.0127859115600586,37.4
3.513887882232666,74.8
6.018327951431274,85.5
6.519235134124756,23.6
7.020481109619141,7.7
7.522423982620239,17.0
8.024219751358032,34.8
8.525344610214233,45.8
9.026264429092407,56.8
9.527166366577148,33.5
10.028522968292236,10.5
10.530531644821167,15.9
11.032248735427856,9.0
11.534226655960083,14.6
12.036157846450806,9.5
12.537901401519775,14.8
13.039868116378784,12.5
13.54134750366211,14.1
14.04316782951355,9.5
14.544774770736694,15.7
15.046492099761963,6.1
15.548170566558838,17.9
16.049863815307617,12.8
16.55178713798523,24.5
17.053638219833374,6.5
17.55550742149353,18.1
18.057507753372192,6.1
18.559004068374634,17.1
19.060499668121338,9.0
19.561991214752197,19.2
20.06336545944214,5.1
20.56560182571411,16.1
21.067180156707764,6.5
21.56887125968933,15.1
22.070492029190063,7.6
22.57221555709839,15.2
23.073896408081055,7.5
23.575908184051514,15.7
24.07793879508972,6.1
24.57979941368103,17.4
25.081729412078857,14.6
