time,value
0.00023317337036132812,16.7
0.502190351486206,10.2
1.0042130947113037,5.6
1.506598949432373,6.6
2.0080714225769043,6.5
2.510352373123169,9.1
3.012141466140747,21.1
3.513279676437378,70.9
4.014256715774536,91.0
4.515238046646118,85.4
6.5192155838012695,87.4
7.020138263702393,38.7
7.521056413650513,18.7
8.022594213485718,34.7
8.523637533187866,47.4
9.025155305862427,24.6
9.526190042495728,14.1
10.027801036834717,14.1
10.528904676437378,8.5
11.030493021011353,16.2
11.531749248504639,10.1
12.033331155776978,15.6
12.534436702728271,14.7
13.035805940628052,16.7
13.536967754364014,10.1
14.03855848312378,15.4
14.539837121963501,6.1
15.041552543640137,16.1
15.54268765449524,9.1
16.04435968399048,16.1
16.54546332359314,14.5
17.046348810195923,37.0
17.547109842300415,15.0
18.048649787902832,18.6
18.55006194114685,7.5
19.05181121826172,16.2
19.55291223526001,9.1
20.054727792739868,21.9
20.556028127670288,10.1
21.05767583847046,18.7
21.558729887008667,24.0
22.059799671173096,21.7
22.560712814331055,7.6
23.062348127365112,14.1
23.563441514968872,8.2
24.06520962715149,17.8
24.56659770011902,11.0
25.068560123443604,15.3
25.56993579864502,11.1
