id;time
0;27125724
1;26896044
2;28416763
3;28077248
4;31795034
5;27632357
6;27259817
7;26850358
8;27329598
9;27397448
10;26710588
11;27619043
12;30478628
13;26674262
14;27779711
15;28368976
16;29931628
17;27359966
18;38760346
19;32728087
20;29016125
21;26619723
22;27550899
23;30525092
24;26393625
25;27147176
26;26915968
27;35335436
28;38560336
29;26380760
30;27240513
31;27657339
32;26720227
33;27568282
34;26205906
35;39211452
36;27233600
37;27050300
38;27042950
39;27336567
40;28173525
41;27044391
42;28052689
43;30757844
44;38607756
45;27318634
46;26865178
47;27810905
48;26425709
49;28329383
50;27483542
51;32115336
52;28059138
53;30316619
54;28509127
55;28142159
56;29914708
57;28191385
58;28523111
59;30684378
60;29614254
61;29124572
62;29428255
63;27831456
64;27477458
65;28350400
66;27310795
67;30165491
68;33886345
69;28903663
70;42723712
71;28095231
72;27347093
73;26501245
74;30607375
75;29391595
76;30460756
77;29362901
78;28458071
79;28441916
80;29512881
81;26722171
82;31898516
83;29106913
84;27403789
85;26936806
86;27922222
87;26862453
88;28688722
89;28283288
90;31766532
91;28045496
92;29081134
93;29551735
94;27483463
95;29119485
96;38411793
97;27867688
98;27235684
99;27153398
