id;time
0;20538118
1;20404722
2;20237683
3;20405554
4;21987122
5;21608384
6;22161545
7;27085881
8;21175189
9;21050444
10;20793951
11;31954576
12;20487236
13;20573887
14;19945104
15;19934679
16;24486112
17;21032114
18;20502087
19;23341171
20;20031776
21;20373906
22;20340616
23;20692588
24;21371205
25;21135677
26;21115310
27;20543864
28;20469346
29;20757577
30;20967678
31;20568082
32;20374964
33;22391106
34;19922799
35;21220472
36;20450241
37;21909891
38;19938545
39;20267646
40;19960056
41;19917995
42;34001652
43;20309022
44;21023231
45;22157506
46;21660797
47;20356407
48;22591830
49;21728600
50;20794234
51;21469099
52;22468534
53;20862027
54;20535545
55;20669318
56;21164454
57;21684624
58;22430622
59;20778156
60;20667106
61;21054443
62;22140731
63;20838920
64;20592171
65;20636203
66;21422906
67;21677085
68;21099466
69;20605226
70;20922574
71;20542122
72;20717690
73;34388818
74;21034791
75;20083138
76;22043833
77;21265659
78;20625075
79;20668177
80;20982062
81;22909188
82;26594126
83;23689727
84;23801832
85;20548575
86;21651356
87;20370604
88;20684441
89;21346967
90;23031143
91;20538442
92;20740549
93;20584455
94;20168976
95;20405713
96;20145093
97;22750543
98;22491010
99;20434702
