id;time
0;34088981
1;33442674
2;35762769
3;36200706
4;35366221
5;33123811
6;33597079
7;35201077
8;34577766
9;33467731
10;37623709
11;33635356
12;51929062
13;34872845
14;35251237
15;34217415
16;34237248
17;33173985
18;32604963
19;33364225
20;33405579
21;37276485
22;33568324
23;33144183
24;36083082
25;33751922
26;33183443
27;34201515
28;35321423
29;34768892
30;44069926
31;34116279
32;34378008
33;36309885
34;33839129
35;34176082
36;35786925
37;33733576
38;33435070
39;35734611
40;33919935
41;32640059
42;33678455
43;33578290
44;34247273
45;33497356
46;35037734
47;42779139
48;33872289
49;37405278
50;37633337
51;32419815
52;40419865
53;33142858
54;51506429
55;46917385
56;33131657
57;33574806
58;35976598
59;33828183
60;33956033
61;35282793
62;32772760
63;31963737
64;33322345
65;48684530
66;37203492
67;32847678
68;33704117
69;33013909
70;33852182
71;33120703
72;33941876
73;32550772
74;32500030
75;32303396
76;33096308
77;31664166
78;33429295
79;32559422
80;32359587
81;33646977
82;46898762
83;33643775
84;36663649
85;35186080
86;33699397
87;33645475
88;32991633
89;33086600
90;35540581
91;34704158
92;33079956
93;34092453
94;32936027
95;32616322
96;32459510
97;36050992
98;32068439
99;32318983
