id;time
0;63966064
1;54478034
2;41775244
3;41199898
4;40386097
5;41983843
6;43952107
7;40594129
8;40818878
9;47506385
10;44985825
11;40168849
12;43667799
13;41711519
14;41452982
15;52189558
16;41516348
17;41415955
18;42500251
19;40863418
20;41487874
21;40834880
22;42029895
23;42440471
24;42539818
25;41415743
26;41101126
27;44245928
28;41440860
29;40587742
30;43379198
31;43747404
32;41070742
33;50369097
34;40114426
35;40639162
36;42792202
37;40521615
38;40338319
39;41422331
40;41478313
41;40959214
42;47814559
43;59251222
44;38948437
45;45087496
46;40571540
47;43614923
48;42876094
49;42114126
50;54139919
51;41028884
52;40313261
53;40011390
54;41257436
55;40191830
56;40781140
57;45414581
58;45094216
59;39967730
60;44768810
61;40576778
62;40305759
63;39974849
64;43066149
65;41574911
66;40826983
67;50839272
68;42702483
69;42666620
70;39966033
71;39888165
72;45880630
73;40625971
74;39098315
75;40178665
76;40157280
77;40288357
78;42651352
79;40702671
80;40487890
81;40518526
82;40082312
83;40142707
84;43475198
85;52638482
86;40738042
87;42162062
88;40408054
89;40646990
90;41952391
91;40710835
92;39711450
93;41535146
94;39425771
95;39529555
96;44094818
97;42042701
98;40434981
99;40084219
