id;time
0;33705962
1;32385026
2;32045947
3;33107978
4;32979009
5;32824095
6;33426833
7;33264107
8;33872126
9;33948457
10;35051132
11;33003437
12;34445364
13;44152338
14;32915177
15;32832257
16;32559149
17;32899521
18;36065790
19;33261122
20;32047909
21;31737128
22;32858112
23;35948785
24;39979632
25;32193455
26;32722593
27;32431585
28;32070077
29;32024331
30;44516519
31;32248144
32;32406978
33;31514858
34;32713635
35;32425121
36;32375343
37;35002950
38;32983124
39;32603700
40;33035605
41;35648115
42;33027262
43;35881176
44;36054347
45;32344467
46;32271635
47;43185293
48;35126696
49;33059860
50;32436964
51;33307770
52;32108254
53;32860179
54;32640618
55;32358574
56;32265752
57;34694195
58;31813252
59;32171533
60;31447465
61;32581714
62;32723687
63;31780163
64;43760154
65;32740604
66;32293769
67;32400109
68;32321618
69;34602260
70;35058678
71;33528489
72;32911938
73;32753456
74;31653113
75;32039954
76;32556925
77;32468790
78;34973711
79;33727079
80;32968390
81;44875104
82;37286392
83;38245530
84;38876749
85;37529970
86;36189282
87;36714465
88;32511963
89;33636690
90;33660639
91;32584647
92;31902801
93;32483438
94;31176866
95;32429758
96;45220505
97;40762564
98;33385552
99;33311219
