id;time
0;26346257
1;26493834
2;26449844
3;26277805
4;27989548
5;25895060
6;26502306
7;25856085
8;26666403
9;27914364
10;26237688
11;27274630
12;32097013
13;39168349
14;25955156
15;28168606
16;27501583
17;26506639
18;26815603
19;25972462
20;29220726
21;26479685
22;29864344
23;27278361
24;26223522
25;26539937
26;26215651
27;27449768
28;27988141
29;25639416
30;26954530
31;25508000
32;26463220
33;25798721
34;26469182
35;26342801
36;28513277
37;26991290
38;27487526
39;26923705
40;40219739
41;28396632
42;27398561
43;27798499
44;32455445
45;27629586
46;28562352
47;27834397
48;27363653
49;27664657
50;27521147
51;29513915
52;26007084
53;29922932
54;25672065
55;26910053
56;26329919
57;30035376
58;28807140
59;31923940
60;31858997
61;33590825
62;34715389
63;32735539
64;31596548
65;32664040
66;37190414
67;47634446
68;31402856
69;31042292
70;32409476
71;31271561
72;27939853
73;31814925
74;32265686
75;30816569
76;29009020
77;26096209
78;28220449
79;25753264
80;26399261
81;29103729
82;26962972
83;27542058
84;25499376
85;26790390
86;25760760
87;29535881
88;27765914
89;32028130
90;25860559
91;27017050
92;26339260
93;26979244
94;52765751
95;27617056
96;26761464
97;27354832
98;26496877
99;27249582
