id;time
0;40818168
1;44914279
2;43946341
3;43760926
4;42073078
5;37709606
6;40060567
7;35723714
8;41936683
9;39918456
10;50113873
11;40958948
12;39584105
13;36720308
14;38512443
15;38068939
16;35377506
17;36646614
18;35004314
19;34548169
20;36212202
21;35356608
22;35612942
23;37664177
24;49277807
25;55309291
26;53378215
27;54326760
28;53848857
29;52352262
30;37002284
31;37700160
32;41590201
33;36606700
34;36376112
35;35674169
36;36591317
37;38100953
38;39263614
39;35526535
40;37653167
41;36382636
42;38518294
43;34535870
44;37759919
45;36206054
46;34696401
47;49986365
48;36081713
49;37002671
50;36445675
51;45664998
52;49911493
53;35012900
54;36298971
55;38151535
56;40403732
57;37841196
58;37601499
59;34843703
60;34988154
61;35971260
62;35095835
63;36122029
64;34537629
65;46874023
66;34999748
67;40035509
68;40232826
69;34418604
70;34753081
71;34726647
72;34834781
73;37586372
74;36982737
75;34867142
76;35938518
77;35844221
78;35973730
79;37154758
80;34652201
81;34772333
82;34638173
83;47775464
84;36038757
85;42271762
86;34271028
87;35194553
88;34619583
89;34996840
90;34720191
91;37355910
92;36868104
93;35229900
94;34815845
95;38632928
96;34368073
97;38334811
98;34103772
99;34812064
