id;time
0;62532823
1;50889472
2;51069331
3;49827081
4;44693417
5;36971159
6;35277569
7;37186241
8;35524167
9;46214495
10;36534911
11;36410844
12;35892157
13;32613200
14;29411353
15;32265226
16;29952314
17;28637350
18;39219852
19;31635846
20;28029354
21;29645182
22;32927975
23;27540087
24;28121959
25;31164549
26;28312652
27;34440223
28;35722270
29;27541305
30;27108973
31;26877449
32;30982134
33;32763268
34;26313134
35;30508766
36;26987106
37;28517420
38;34557114
39;37993101
40;29628061
41;25149942
42;25207130
43;23198241
44;29263802
45;24419312
46;23249921
47;30992136
48;30570335
49;23443574
50;25276841
51;23841677
52;27086946
53;23392331
54;22752484
55;24100099
56;26474009
57;23377483
58;32103626
59;27844099
60;35767696
61;27897412
62;23186386
63;23403700
64;26929043
65;22929635
66;22660771
67;22992159
68;22442590
69;22912899
70;30088149
71;22788056
72;24313317
73;27607604
74;25796229
75;23711793
76;25230763
77;23096045
78;22844503
79;23936237
80;30195787
81;38313294
82;39438574
83;28628386
84;26139734
85;26875494
86;26988892
87;26141789
88;23349725
89;25042290
90;24513262
91;23819011
92;31606662
93;28263557
94;22773061
95;22091645
96;31473567
97;24496131
98;28735772
99;24535828
