id;time
0;32213255
1;31630642
2;37754476
3;32065322
4;31415536
5;32711594
6;30455589
7;31983694
8;33030920
9;32900373
10;30841339
11;31220359
12;31339027
13;31077814
14;30286099
15;31024764
16;32783930
17;30828099
18;30901082
19;40363100
20;31196703
21;30807898
22;31022478
23;32790366
24;30585682
25;30761527
26;31629188
27;31884397
28;31289866
29;31660294
30;35670316
31;32278797
32;30266186
33;32014249
34;31439043
35;30876020
36;32901284
37;31896572
38;32145733
39;41415130
40;31659246
41;33684311
42;31089892
43;31024938
44;31897980
45;31514328
46;30277970
47;31621025
48;31444906
49;31263305
50;30732024
51;31749735
52;33235951
53;30145836
54;30000786
55;31078260
56;30640259
57;30972588
58;31596656
59;41008274
60;31220103
61;32363344
62;32709053
63;30820855
64;29873169
65;31327597
66;31197165
67;30990942
68;31257589
69;31112000
70;29749828
71;30919616
72;35240901
73;31062881
74;30912823
75;30798339
76;30603172
77;29878812
78;31458344
79;49071055
80;32302425
81;31894562
82;31076367
83;30215080
84;29695227
85;30011175
86;32948710
87;31473388
88;33784056
89;31102483
90;30643197
91;29374619
92;30828125
93;33164238
94;35128473
95;32325363
96;31053879
97;32413852
98;31475675
99;41076224
