id;time
0;33977746
1;30203668
2;29892864
3;35933961
4;29750547
5;30368607
6;30796016
7;30160346
8;29980789
9;41699941
10;31881270
11;29943925
12;29449536
13;28776614
14;29964474
15;29430352
16;28629228
17;29486526
18;31473064
19;30361660
20;28951350
21;29743443
22;30144578
23;29625517
24;31884489
25;32011091
26;28917189
27;29528791
28;29848667
29;29241487
30;29072643
31;42566942
32;30137524
33;30037803
34;32487615
35;29941001
36;29850200
37;29429319
38;30023766
39;30806107
40;29855411
41;29543728
42;28487436
43;29549426
44;29950413
45;30547305
46;29544659
47;29733435
48;30011839
49;29423644
50;28548840
51;29779119
52;31182998
53;40331384
54;29184720
55;28993541
56;28226994
57;29026228
58;29236510
59;32599755
60;28262024
61;28853069
62;30011217
63;29342900
64;28362962
65;29553351
66;29047954
67;32976724
68;29980793
69;28554721
70;29752673
71;29408742
72;28786870
73;32712924
74;29762386
75;42663074
76;29311288
77;29773253
78;29618107
79;30147171
80;31108599
81;31966979
82;33261066
83;32125416
84;30507929
85;30250960
86;33733796
87;35821409
88;37477933
89;35540123
90;36607160
91;31954575
92;30406249
93;31559542
94;32060580
95;29329914
96;27911753
97;45132618
98;30058134
99;28562525
