id;time
0;40140838
1;29618093
2;30231224
3;46440142
4;30736947
5;29433776
6;31696186
7;32982270
8;30371881
9;31785790
10;30629481
11;30369107
12;30558798
13;30871935
14;30096940
15;31014833
16;32323811
17;30358977
18;64547535
19;32133968
20;30633471
21;35132521
22;33807980
23;31062955
24;30562550
25;33203568
26;29589099
27;35804284
28;30910080
29;33035430
30;30595991
31;30433747
32;29867383
33;30360648
34;30270765
35;32169372
36;31194443
37;30138349
38;30070805
39;29892651
40;42517038
41;32634898
42;31716699
43;34049199
44;34853971
45;30123184
46;30089174
47;29924527
48;30823378
49;29952376
50;33489443
51;30129632
52;30793386
53;31784153
54;30209225
55;30113030
56;29917613
57;34444924
58;29642895
59;31076894
60;31684587
61;29972183
62;40769269
63;31588678
64;36272459
65;33382849
66;30809274
67;30162421
68;29956680
69;29872820
70;30310337
71;32853079
72;31733100
73;31401957
74;33198150
75;30016473
76;30044743
77;30073595
78;33839078
79;30578534
80;30739858
81;30478229
82;30607572
83;30010185
84;41912801
85;32116491
86;29891840
87;30753181
88;31571337
89;30896842
90;30312332
91;30237581
92;33422257
93;29405856
94;30843393
95;33024102
96;29369280
97;32350168
98;30315520
99;30917242
