id;time
0;22309298
1;24111510
2;22173635
3;23148308
4;26677414
5;35443127
6;35575156
7;26525516
8;22727190
9;22392350
10;23572149
11;24505289
12;22617805
13;25660878
14;22436180
15;23145290
16;36986287
17;22854124
18;23093311
19;23475267
20;22731159
21;22130767
22;23028691
23;23310750
24;25545792
25;23979097
26;23364372
27;22610817
28;23903599
29;22280791
30;25359126
31;24523691
32;22343776
33;34230625
34;26907101
35;25612866
36;26707327
37;25829377
38;26789241
39;26471920
40;26929444
41;23486492
42;25471871
43;23324781
44;23694452
45;25490961
46;24814568
47;25217692
48;22782963
49;22182181
50;24344140
51;22383601
52;22329050
53;23058058
54;22441231
55;33913316
56;22936494
57;23223555
58;24347739
59;24003694
60;23898480
61;23234051
62;22661075
63;23439349
64;22906859
65;21671030
66;22137899
67;23367119
68;22053023
69;28108060
70;26450630
71;23027610
72;22950537
73;22168349
74;22314960
75;23444554
76;22190813
77;32161424
78;24093644
79;22969617
80;25283814
81;22111562
82;23312116
83;22757723
84;22108834
85;22742234
86;23471797
87;22454671
88;25574024
89;22684012
90;22380999
91;22620484
92;23783340
93;22023736
94;24561864
95;24168895
96;21967609
97;22921041
98;36121305
99;22892870
