id;time
0;24326703
1;25413966
2;26965931
3;25214330
4;23990428
5;27108382
6;23923906
7;27882276
8;35873897
9;24667693
10;24589113
11;23413763
12;25886872
13;24111990
14;24761843
15;23878442
16;27167694
17;27302216
18;25743259
19;24211223
20;24937244
21;27493838
22;24977446
23;24081607
24;24308541
25;25655825
26;23972422
27;24782779
28;23937352
29;26133900
30;24922132
31;36313789
32;25101168
33;23747256
34;25758633
35;24480269
36;25756219
37;24432242
38;29650277
39;35750048
40;27072003
41;26281297
42;27513992
43;25363257
44;27208446
45;25201201
46;26767907
47;28735944
48;25180457
49;27136590
50;24904434
51;25834586
52;26036921
53;26014609
54;25227466
55;44549882
56;24840691
57;28817511
58;25371300
59;25914104
60;25459178
61;25661029
62;24531023
63;27361898
64;29872122
65;24993472
66;30783314
67;38620768
68;80586456
69;84546706
70;43029397
71;27831457
72;30790104
73;29575751
74;26468840
75;32571037
76;33651239
77;28628482
78;45005663
79;29569519
80;30615005
81;31113071
82;34465307
83;35715812
84;33322105
85;31369229
86;34765268
87;33709371
88;24912501
89;24670213
90;26186803
91;26909647
92;23967262
93;24795259
94;23681833
95;25778596
96;23956444
97;24482424
98;24124741
99;26932878
