id;time
0;32561698
1;35535967
2;37327174
3;39873975
4;33761440
5;39294615
6;38598718
7;36954417
8;35621123
9;34099646
10;45732025
11;31232529
12;32150734
13;30368134
14;29644212
15;31002209
16;34695874
17;31158124
18;31178572
19;31418405
20;31150771
21;31468912
22;29955722
23;31711047
24;31676466
25;30569711
26;30723974
27;30480346
28;31041138
29;31718960
30;30838126
31;37124707
32;31077017
33;31682498
34;47351849
35;31464595
36;30930058
37;33863100
38;30534669
39;33043322
40;30853349
41;32042944
42;30650166
43;31405325
44;30709701
45;33184052
46;30816759
47;31294677
48;30972748
49;34779469
50;30544112
51;34437068
52;30960269
53;30966830
54;29929067
55;31330800
56;31022348
57;31103859
58;44520971
59;32319101
60;32099103
61;31835067
62;32494847
63;31002417
64;30802489
65;34704326
66;31859824
67;30669942
68;31750887
69;30567004
70;30990279
71;30383278
72;30398523
73;34071875
74;31668456
75;31890071
76;31304462
77;30924451
78;31058639
79;30213469
80;30484617
81;31262328
82;43641873
83;30320565
84;31309453
85;30489358
86;30098215
87;33569019
88;31188189
89;31111118
90;30097911
91;30762134
92;30495899
93;29982379
94;30537380
95;31640914
96;30976251
97;30603967
98;30538266
99;30332708
