id;time
0;61272439
1;41416033
2;36868384
3;38003644
4;36914828
5;33801120
6;35181062
7;37380666
8;40336018
9;37015578
10;34502458
11;34754888
12;34497990
13;37880817
14;36314582
15;36791800
16;34963264
17;38680660
18;35268635
19;45798921
20;35288479
21;34527250
22;35974260
23;35176299
24;35528338
25;37406778
26;35075692
27;35107376
28;34701095
29;34768618
30;34803950
31;34883285
32;35217258
33;34612730
34;35845311
35;39900101
36;34489698
37;37177842
38;44978688
39;34377701
40;34220406
41;34638562
42;34654721
43;38148684
44;36554242
45;34149941
46;39236475
47;34828004
48;34507616
49;37778669
50;36149132
51;35096187
52;34836164
53;35401502
54;35045169
55;36764663
56;35468096
57;45232056
58;35166613
59;33442907
60;33865242
61;36863623
62;34171841
63;34531650
64;33644092
65;35248142
66;34719523
67;35852388
68;38045286
69;34359027
70;35476073
71;34501523
72;39045835
73;37866692
74;34618403
75;34010235
76;43785299
77;35470394
78;38010054
79;37278880
80;34750000
81;36960991
82;34056253
83;33936283
84;34126484
85;34135830
86;34755831
87;36522394
88;34377004
89;34661081
90;32602154
91;34939336
92;35284990
93;34100377
94;36510059
95;44206549
96;34522316
97;42646088
98;38943367
99;34415930
