id;time
0;24189122
1;25416144
2;24292833
3;24391459
4;25149572
5;25520497
6;25502575
7;25345320
8;24931322
9;26567786
10;23829407
11;24696567
12;24447995
13;23652549
14;27496129
15;37693894
16;27744479
17;28207074
18;28621177
19;27997491
20;28832982
21;27218090
22;32012374
23;28454446
24;24323142
25;24171997
26;25457970
27;23902816
28;24173083
29;25303968
30;24400468
31;25657988
32;28309545
33;28986700
34;24447360
35;25159632
36;27274693
37;24301947
38;25581752
39;24945172
40;25907462
41;35901508
42;24041003
43;23826280
44;25645264
45;24279649
46;23954104
47;27675944
48;23860995
49;25317854
50;24550710
51;23887414
52;25831071
53;24230973
54;24209820
55;25423226
56;24055575
57;24018163
58;26158665
59;24091118
60;24161637
61;25196291
62;23968149
63;24723790
64;24882648
65;23838573
66;36352582
67;27689497
68;26342454
69;25436194
70;25207382
71;38622139
72;28878220
73;23974451
74;24277814
75;24532050
76;23896235
77;24761131
78;23980517
79;26290639
80;25401245
81;23587673
82;23736276
83;25795451
84;23816345
85;24043723
86;25136190
87;25834441
88;24739168
89;24138466
90;24132966
91;24779543
92;40304931
93;24296728
94;25024377
95;24563372
96;23670226
97;24568952
98;23867054
99;23576357
