id;time
0;81101685
1;70182162
2;75726450
3;63055010
4;59270517
5;63820542
6;66900856
7;55514690
8;55788394
9;55609068
10;108605619
11;56244804
12;62047205
13;53501410
14;58748761
15;51659248
16;52299316
17;50795092
18;52728035
19;50516474
20;49816440
21;53949926
22;52483283
23;48138291
24;51688913
25;52384723
26;51496954
27;48399099
28;55201165
29;56281155
30;55647268
31;57276794
32;122329351
33;52882960
34;47385709
35;46798782
36;47560956
37;46187962
38;60261062
39;67024234
40;47009089
41;46201695
42;47960599
43;48495111
44;55428683
45;47308397
46;49475495
47;49554332
48;52722831
49;52685797
50;44410287
51;45748858
52;48170806
53;50685939
54;46655169
55;45704700
56;46360095
57;46139538
58;45035542
59;67947106
60;63188467
61;49063341
62;44893438
63;45232950
64;46669421
65;44007557
66;48078468
67;51320849
68;42903291
69;58212651
70;46338840
71;43192256
72;45717849
73;44897146
74;46070982
75;45908587
76;50208455
77;42975792
78;45170763
79;55677493
80;52135236
81;56316472
82;58725830
83;53421397
84;44749806
85;49010163
86;45368763
87;48293360
88;46086001
89;42959843
90;45097224
91;45403928
92;69547295
93;45530206
94;47015004
95;43661759
96;46336250
97;50841182
98;45011094
99;45017450
