id;time
0;96160214
1;85028027
2;87476318
3;79350181
4;76911449
5;80252125
6;74372925
7;92136235
8;123469115
9;71315164
10;98149885
11;93294670
12;98128599
13;68110447
14;77146020
15;77198236
16;70301319
17;117879435
18;71779189
19;69243850
20;69139609
21;73469193
22;78282100
23;66909068
24;71891649
25;73598854
26;67513746
27;68332067
28;71903899
29;71222258
30;71245604
31;66869277
32;110767236
33;73636812
34;67552456
35;69214988
36;72509794
37;64621466
38;68690929
39;77983589
40;65782511
41;62691734
42;68805743
43;68513029
44;71079670
45;62842144
46;63911164
47;74605805
48;74463639
49;66805535
50;67967017
51;114905824
52;64833045
53;64270173
54;65458042
55;66469550
56;69481105
57;64886725
58;70815825
59;68205661
60;75992008
61;62458782
62;65954937
63;67692834
64;65963636
65;67348075
66;63745550
67;65519630
68;68404139
69;63802192
70;67421884
71;60732779
72;69029326
73;64333440
74;67253044
75;64983250
76;62099158
77;65001650
78;62761829
79;75442324
80;125722332
81;69224620
82;80097711
83;136654070
84;67173438
85;64397423
86;65859242
87;64612435
88;62403137
89;69283087
90;67988319
91;83149444
92;86106439
93;87710332
94;93690054
95;95732230
96;92524005
97;92014995
98;76895516
99;74392026
