id;time
0;250819956
1;219288366
2;216516916
3;217381748
4;214027623
5;223879105
6;229738064
7;196168349
8;210108830
9;199596048
10;203349924
11;198976713
12;195297862
13;193182418
14;189969519
15;188847091
16;403073391
17;218261533
18;205335388
19;197176152
20;190183151
21;193602500
22;204671481
23;181642287
24;208522561
25;192236929
26;187911969
27;190625088
28;192333068
29;189204468
30;186486986
31;191663079
32;188616004
33;206003550
34;265277165
35;195903576
36;186895001
37;182481077
38;184392165
39;200503873
40;188214466
41;180735659
42;200809218
43;182789931
44;186131639
45;190624629
46;181757425
47;180526865
48;196285222
49;223872545
50;184763138
51;207842914
52;186993824
53;184124127
54;186419450
55;181411107
56;186208729
57;179539397
58;202197370
59;191452854
60;200273455
61;188426598
62;183983500
63;178164096
64;184494765
65;182351963
66;181183894
67;182453672
68;182394591
69;183507924
70;194533772
71;182579334
72;182527818
73;326387100
74;194903557
75;188205487
76;187051059
77;183730285
78;189180197
79;183803254
80;188159252
81;194646300
82;202837726
83;179279488
84;189580665
85;194739501
86;186734613
87;175034347
88;179894416
89;179837490
90;194866861
91;188436878
92;196876623
93;188739516
94;188286917
95;180418881
96;189114783
97;182773215
98;184185524
99;201334389
