id;time
0;289518902
1;307701566
2;198499778
3;352258487
4;197696019
5;197406798
6;219737640
7;175686699
8;179366268
9;183804550
10;191062185
11;183296513
12;179010883
13;176569862
14;170218074
15;174637816
16;179083660
17;170571682
18;192539370
19;178118815
20;175949328
21;167949737
22;170554311
23;169076910
24;168188272
25;183591985
26;172744596
27;167299573
28;179575362
29;190712441
30;193248221
31;173698259
32;168245454
33;178765088
34;176124254
35;170736912
36;174658740
37;177790172
38;172441950
39;173853549
40;175009751
41;173675889
42;167689138
43;171846173
44;186708230
45;171021621
46;165347638
47;167566329
48;174943954
49;170059611
50;174697912
51;172495116
52;169083512
53;170182000
54;163567592
55;173409811
56;167897513
57;168421545
58;166720357
59;171588026
60;178724060
61;171014552
62;175905973
63;167079943
64;170448879
65;169384316
66;169093977
67;179514498
68;182737547
69;167935942
70;193941607
71;167426176
72;163203839
73;173421831
74;167266614
75;168021104
76;168732461
77;163636438
78;168825008
79;170348063
80;172757763
81;185468420
82;175397320
83;166994893
84;163263301
85;174236867
86;169897811
87;163582480
88;170498767
89;166911601
90;167262633
91;169094185
92;178928512
93;165657041
94;173071852
95;168370089
96;169348710
97;172314387
98;168058827
99;170796784
