id;time
0;126733197
1;119098929
2;115602043
3;113393995
4;113904327
5;124250351
6;114589460
7;113274823
8;109515863
9;108318744
10;114900023
11;119949868
12;113238238
13;108057706
14;114215206
15;107204632
16;110527552
17;106970762
18;115796527
19;105048394
20;110467599
21;102690868
22;150222263
23;105126251
24;109726400
25;107555022
26;111550769
27;102202289
28;107622909
29;105037636
30;109351167
31;103994146
32;107177174
33;121954873
34;126534414
35;115136509
36;106601324
37;107741669
38;107622161
39;113004644
40;102425762
41;105489026
42;107981479
43;104572123
44;108948330
45;100803928
46;101991404
47;102582322
48;112013959
49;101000443
50;104624775
51;104190258
52;102089447
53;102803178
54;107194310
55;101494550
56;113446360
57;107690803
58;103253735
59;105761363
60;166234158
61;105060874
62;103334920
63;97997153
64;138145780
65;104708287
66;104330794
67;102303974
68;107824697
69;102999280
70;136607569
71;124769747
72;112387897
73;106942881
74;107484107
75;104132933
76;102423475
77;101180998
78;106161873
79;100581736
80;108615992
81;103547556
82;117672523
83;110303983
84;104617080
85;102697004
86;103519446
87;102630320
88;98807265
89;103330619
90;104725469
91;105175970
92;115671016
93;107360113
94;97846601
95;102955983
96;103650732
97;102230087
98;105030171
99;102302311
